,博物馆名称,新闻来源,新闻标题,简介内容,次级新闻网站,新闻发布时间
3468,北京大葆台西汉墓博物馆,光明网,北京地区馆藏文物毁坏触目惊心,"这样被锈蚀的金属器,占这家市级文物馆藏单位金属器总数的近2/3。大葆台西汉墓博物馆的数据显示,1983年至2003年,该馆减少的文物共97件。其中,因锈蚀导致直接减少的共23件。 相似的情况在北京诸多博物馆中都存在:云居寺文物管理处,...",https://www.gmw.cn/02lrtd/content/2005-11/30/content_338709.htm,"('11月30日', 2160)"
3469,北京大葆台西汉墓博物馆,轻叶说,"北京发现西汉古墓,出土最早的黄肠题凑,专家:皇帝御用",这北京大葆台西汉墓博物馆乃是在距今西汉广阳倾王刘建的地下宫殿原址上建立起来的，是一个独具特色的帝王陵遗址博物馆。博物馆挨着公园，占地非常大，要上万平方米。大葆台西汉墓保存相对完好，给研究中华汉文化及北京历史提供了非常珍贵...,https://baijiahao.baidu.com/s?id=1636300491187335456&wfr=spider&for=pc,"('6月14日', 2160)"
3470,北京大葆台西汉墓博物馆,和讯网,七夕节北京地区博物馆将推50余项文化活动 8家博物馆开启夜游,"观众可提前实名预约参观。据了解,七夕期间延时开放的8家博物馆有北京自然博物馆、北京天文馆、首都博物馆、大钟寺古钟博物馆、北京石刻艺术博物馆、老舍纪念馆、北京辽金城垣博物馆、北京市大葆台西汉墓博物馆。其中,北京天文馆将于8月25...",http://news.hexun.com/2020-08-21/201918114.html,"('8月21日', 2160)"
3471,北京大葆台西汉墓博物馆,中国新闻网,“国际博物馆日”期间 北京地区博物馆将推94项主题活动,"名人的艺术世界》线上巡展,周口店北京人遗址博物馆、中国园林博物馆、北京古代建筑博物馆、北京市大葆台西汉墓博物馆等多家博物馆推出线上360°全景展示,中国电影博物馆、孔庙和国子监博物馆、大钟寺古钟博物馆、北京石刻艺术博物馆等将...",https://www.chinanews.com/cul/2020/05-13/9183549.shtml,"('5月13日', 2160)"
3472,北京大葆台西汉墓博物馆,搜狐网,免费看展!518博物馆日来啦!96项活动等你参加!,◆“8+”名人故居纪念馆联盟推出《平等·多元·包容——文化名人的艺术世界》线上巡展带领大家感受文化名人追求独立自主、科学真理的伟大精神; ◆周口店北京人遗址博物馆、中国园林博物馆、北京古代建筑博物馆、北京市大葆台西汉墓博物馆等...,https://www.sohu.com/a/395871513_120632773,"('5月18日', 2160)"
3473,北京大葆台西汉墓博物馆,新京报网,探索远程实践教育 内蒙古学生在北京博物馆“上课”,"从2015年起,北京市大葆台西汉墓博物馆和北京教育学院丰台分院合作,共同探索开设综合实践活动课,发挥博物馆的教育功能,扩大学校教学空间,促进博物馆教育与中小学教育的相互结合。主办方介绍,此次联合教研也是为了落实北京与内蒙古签署的全面深...",https://www.bjnews.com.cn/news/2018/12/26/534123.html,"('12月26日', 2160)"
3474,北京大葆台西汉墓博物馆,搜狐网,在丰台的博物馆免费看展览!本周博物馆都疯了!免费活动太多多多!,"2018年“5.18国际博物馆日”北京地区主题活动清单 2018年“5.18国际博物馆日”当天主题活动清单 2018年“5.18国际博物馆日”北京市文物局局属博物馆主题活动清单 来源:最爱大北京、中国园林博物馆,新丰台整理,转载请注明来源 ...",https://www.sohu.com/a/231616729_165258,"('5月15日', 2160)"
3475,北京大葆台西汉墓博物馆,人民网,北京丰台:在综合实践活动中回眸历史传承文化,"人民网北京11月23日电(孙竞)在北京大葆台西汉墓博物馆的书写活动厅里,来自北京教育学院丰台分院附属学校的学生们第一次亲手触摸到竹简。他们小心翼翼地用毛笔沾上墨水,以竹简为纸,一笔一划地尝试着书写汉字。 ",http://edu.people.com.cn/n1/2016/1123/c1006-28891232.html,"('11月23日', 2160)"
3476,北京大葆台西汉墓博物馆,央广网,北京免费博物馆最新大盘点,11.日坛公园 12.丽都公园 6个免费开放的市区博物馆 1.北京麋鹿苑 2.北京西周燕都遗址博物馆 3.北京大葆台西汉墓博物馆 4.北京辽金城垣博物馆 5.北京团城演武厅管理处 6.海淀博物馆,http://www.cnr.cn/lvyou/2011lvpd/gny/201407/t20140721_515984906.shtml,"('7月21日', 2160)"
3477,北京大葆台西汉墓博物馆,畅明轩,北京大葆台汉墓出土玉器掠影,"在发掘两座汉墓期间,还发现了金带遗址,包括一处建筑遗址和一处水井遗址。就这水井里捞出了一个与现行象棋棋盘相同的棋盘。现在依托汉墓建了《大葆台遗址博物馆》,两座汉墓,以及金代遗址出土文物都在此展出。可惜现在还是改造阶段,已经...",https://baijiahao.baidu.com/s?id=1649831392876765240&wfr=spider&for=pc,"('11月11日', 2160)"
3478,北京大葆台西汉墓博物馆,中国新闻网,北京丰台大葆台发现2000年前的神秘古墓,"北京市大葆台西汉墓博物馆正是保存、展示这些出土文物的地方,在此,人们可穿越2000年的时光追寻遥远的大汉王朝。 镇馆之宝: 西汉广阳顷王刘建墓室 大葆台西汉墓博物馆的“镇馆之宝”,毫无疑问是其1号墓(地宫),当年是西汉广阳顷王刘...",https://www.chinanews.com/cul/2011/08-03/3231627.shtml,"('8月3日', 2160)"
3479,北京大葆台西汉墓博物馆,华夏经纬网,北京市第一批33家博物馆免费开放情况一览表,"8 北京西周燕都遗址博物馆 800 零散观众现场领票团体提前三天电话预约咨询电话:61393049 因改陈语音导览项目正在制作过程中,价格待定 9:00-15:30 周一  9 北京大葆台西汉墓博物馆 600 零散观众现场领票预约电话:83612852/83613073 讲解...",http://www.huaxia.com/wh/whxx/2008/00783816.html,"('3月27日', 2160)"
3480,北京大葆台西汉墓博物馆,中国政府网,北京:6个博物馆已经免费开放,"北京大葆台西汉墓博物馆: 该馆位于北京城南约15公里的丰台区花乡郭公庄南,是一座建立在汉代王陵遗址上的博物馆,1982年12月对社会开放。大葆台西汉墓于1974年6月开始发掘,经考证,墓主为西汉燕王(或广阳王)及其夫人。除此之外,遗址还...",http://www.gov.cn/govweb/fwxx/wy/2008-02/12/content_888025.htm,"('2月12日', 2160)"
3481,北京大葆台西汉墓博物馆,网易订阅,"大葆台汉墓未开放,墓主汉武帝之孙燕王刘旦之子,始封广阳王刘建","这两座西汉墓考古发掘时间很早,在1982年就已经对社会开放。然而,大葆台汉墓博物馆自2011年起又闭馆维修,当时说2013年能够重新开放。可是时至今日,又过去了两年时间,依然大门紧闭。 如此情况在今天的特色博物馆中并不鲜见。给一般人的印...",https://dy.163.com/article/FCQV5Q1E05218VUU.html,"('5月17日', 2160)"
3482,北京大葆台西汉墓博物馆,历史店,"大葆台汉墓出土普通斧子,制作它的材料不简单,还破解了一个谜团","后来,这把牛斧子,就被放在大葆台西汉墓博物馆中,成了一件知名度很高的宝贝。专家们通过现代的科技,对铁斧做了检查,这才发现它如此“锋利”的原因。 这把铁斧头,并不是一把普通的斧子,因为它是一把钢斧子,而它的冶炼工艺竟然是“...",https://baijiahao.baidu.com/s?id=1618608569457964875&wfr=spider&for=pc,"('12月1日', 2160)"
3483,北京大葆台西汉墓博物馆,搜狐网,大葆台汉墓发掘记,"编者按:1995年《中国文物报》连载了北京大葆台汉墓的发掘参与者马希桂的文章,回忆了1974年的发掘过程。 一个盛夏的早晨,我因参加大葆台汉墓博物馆为配合市文物局、市旅游局举办的“94文物旅游年”,推出模拟考古这项既有知识性又有趣味...",https://www.sohu.com/a/259283575_488371,"('10月13日', 2160)"
